Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
1198	17-10-2025 22:57:42	18.37	2.64	1.29	96.0	84.0	98.0	18.55873	81.82187	7.43333	92.66667	18.37	False	2.64	False	1.29	False
1199	17-10-2025 22:57:42	17.8	2.46	1.35	90.0	93.0	97.0	17.96919	82.13144	7.20333	93.33333	17.8	False	2.46	False	1.35	False
1200	17-10-2025 22:57:42	17.95	1.34	1.92	91.0	95.0	97.0	17.99995	85.73069	7.07	94.33333	17.95	False	1.34	False	1.92	False
1201	17-10-2025 22:57:42	18.33	-0.34	2.2	92.0	89.0	95.0	18.33315	91.06265	6.73	92.0	18.33	False	-0.34	False	2.2	False
1202	17-10-2025 22:57:42	17.82	2.09	1.99	93.0	91.0	97.0	17.94214	83.31068	7.3	93.66667	17.82	False	2.09	False	1.99	False
1203	17-10-2025 22:57:42	19.06	-0.05	1.13	96.0	93.0	97.0	19.06006	90.1503	6.71333	95.33333	19.06	False	-0.05	False	1.13	False
1204	17-10-2025 22:57:42	16.91	1.71	0.77	94.0	93.0	93.0	16.99624	84.22567	6.46333	93.33333	16.91	False	1.71	False	0.77	False
1205	17-10-2025 22:57:42	17.29	1.93	1.32	87.0	91.0	93.0	17.39739	83.63071	6.84667	90.33333	17.29	False	1.93	False	1.32	False
1206	17-10-2025 22:57:42	16.94	1.54	1.37	93.0	87.0	96.0	17.00986	84.80557	6.61667	92.0	16.94	False	1.54	False	1.37	False
1207	17-10-2025 22:57:42	17.72	2.29	1.68	87.0	89.0	95.0	17.86736	82.63634	7.23	90.33333	17.72	False	2.29	False	1.68	False
1208	17-10-2025 22:57:42	18.11	0.46	3.31	84.0	86.0	95.0	18.11584	88.54498	7.29333	88.33333	18.11	False	0.46	False	3.31	False
1209	17-10-2025 22:57:42	18.24	-0.35	2.63	93.0	87.0	96.0	18.24336	91.09929	6.84	92.0	18.24	False	-0.35	False	2.63	False
1210	17-10-2025 22:57:42	17.92	1.67	2.84	91.0	89.0	99.0	17.99765	84.67587	7.47667	93.0	17.92	False	1.67	False	2.84	False
1211	17-10-2025 22:57:42	16.52	2.39	2.76	92.0	84.0	98.0	16.69199	81.76796	7.22333	91.33333	16.52	False	2.39	False	2.76	False
1212	17-10-2025 22:57:42	17.21	3.49	3.79	84.0	89.0	95.0	17.5603	78.53649	8.16333	89.33333	17.21	False	3.49	False	3.79	False
1213	17-10-2025 22:57:42	19.61	1.21	3.67	90.0	94.0	98.0	19.64729	86.46914	8.16333	94.0	19.61	False	1.21	False	3.67	False
1214	17-10-2025 22:57:42	18.98	1.16	3.08	91.0	89.0	98.0	19.01541	86.50261	7.74	92.66667	18.98	False	1.16	False	3.08	False
