Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)	V1/X/E(cm/s)_clean	V1/X/E(cm/s)_is_spike	V2/Y/N(cm/s)_clean	V2/Y/N(cm/s)_is_spike	V3/Z/U(cm/s)_clean	V3/Z/U(cm/s)_is_spike
657	18-10-2025 21:18:26	-0.2	-0.72	0.18	64.0	47.0	73.0	0.74726	195.52411	-0.24667	61.33333	-0.2	False	-0.72	False	0.18	False
658	18-10-2025 21:18:26	0.77	0.73	0.39	52.0	45.0	77.0	1.06104	46.52752	0.63	58.0	0.77	False	0.73	False	0.39	False
659	18-10-2025 21:18:26	5.42	-2.92	0.32	63.0	56.0	61.0	6.15653	118.31336	0.94	60.0	5.42	False	-2.92	False	0.32	False
660	18-10-2025 21:18:26	1.91	-0.12	0.68	43.0	58.0	71.0	1.91377	93.59501	0.82333	57.33333	1.91	False	-0.12	False	0.68	False
661	18-10-2025 21:18:27	2.71	-2.23	0.32	63.0	62.0	77.0	3.50956	129.45022	0.26667	67.33333	2.71	False	-2.23	False	0.32	False
662	18-10-2025 21:18:27	4.44	0.7	0.58	58.0	63.0	63.0	4.49484	81.04063	1.90667	61.33333	4.44	False	0.7	False	0.58	False
663	18-10-2025 21:18:27	3.98	2.87	0.9	58.0	44.0	76.0	4.90686	54.20442	2.58333	59.33333	3.98	False	2.87	False	0.9	False
664	18-10-2025 21:18:27	4.11	1.05	-0.13	71.0	59.0	78.0	4.242	75.66893	1.67667	69.33333	4.11	False	1.05	False	-0.13	False
665	18-10-2025 21:18:27	5.67	-1.25	0.6	63.0	40.0	89.0	5.80615	102.43248	1.67333	64.0	5.67	False	-1.25	False	0.6	False
666	18-10-2025 21:18:27	1.64	0.75	0.25	58.0	40.0	85.0	1.80336	65.42457	0.88	61.0	1.64	False	0.75	False	0.25	False
667	18-10-2025 21:18:27	4.95	-1.83	0.82	40.0	45.0	72.0	5.27744	110.2892	1.31333	52.33333	4.95	False	-1.83	False	0.82	False
668	18-10-2025 21:18:27	-1.19	1.42	0.39	59.0	49.0	79.0	1.8527	320.03604	0.20667	62.33333	-1.19	False	1.42	False	0.39	False
669	18-10-2025 21:18:27	0.28	1.91	0.16	76.0	60.0	76.0	1.93041	8.33998	0.78333	70.66667	0.28	False	1.91	False	0.16	False
670	18-10-2025 21:18:27	0.44	-3.43	0.11	45.0	41.0	79.0	3.45811	172.69003	-0.96	55.0	0.44	False	-3.43	False	0.11	False
671	18-10-2025 21:18:27	1.93	0.37	-0.16	57.0	58.0	79.0	1.96515	79.14751	0.71333	64.66667	1.93	False	0.37	False	-0.16	False
672	18-10-2025 21:18:27	0.0	3.58	0.98	42.0	27.0	81.0	3.58	0.0	1.52	50.0	0.0	False	3.58	False	0.98	False
673	18-10-2025 21:18:27	4.75	-3.88	-0.43	71.0	36.0	74.0	6.13326	129.2434	0.14667	60.33333	4.75	False	-3.88	False	-0.43	False
674	18-10-2025 21:18:27	1.96	-1.25	0.39	54.0	29.0	78.0	2.32467	122.5279	0.36667	53.66667	1.96	False	-1.25	False	0.39	False
675	18-10-2025 21:18:27	5.33	3.45	1.32	56.0	57.0	67.0	6.34913	57.08584	3.36667	60.0	5.33	False	3.45	False	1.32	False
676	18-10-2025 21:18:27	-3.49	2.34	0.61	46.0	53.0	68.0	4.20187	303.84134	-0.18	55.66667	-3.49	False	2.34	False	0.61	False
677	18-10-2025 21:18:27	-4.21	1.3	1.1	66.0	38.0	56.0	4.40614	287.16009	-0.60333	53.33333	-4.21	False	1.3	False	1.1	False
678	18-10-2025 21:18:27	2.7	1.66	0.65	57.0	39.0	67.0	3.16948	58.41618	1.67	54.33333	2.7	False	1.66	False	0.65	False
679	18-10-2025 21:18:27	-0.35	2.93	0.54	54.0	49.0	51.0	2.95083	353.18807	1.04	51.33333	-0.35	False	2.93	False	0.54	False
680	18-10-2025 21:18:27	1.81	-2.91	0.61	58.0	40.0	61.0	3.42698	148.11867	-0.16333	53.0	1.81	False	-2.91	False	0.61	False
681	18-10-2025 21:18:27	2.59	-6.09	-0.44	60.0	54.0	80.0	6.61787	156.96056	-1.31333	64.66667	2.59	False	-6.09	False	-0.44	False
682	18-10-2025 21:18:27	1.2	-2.59	-0.25	48.0	45.0	60.0	2.85449	155.14075	-0.54667	51.0	1.2	False	-2.59	False	-0.25	False
683	18-10-2025 21:18:27	2.34	0.53	0.68	43.0	44.0	76.0	2.39927	77.23807	1.18333	54.33333	2.34	False	0.53	False	0.68	False
684	18-10-2025 21:18:27	-0.26	0.95	-0.07	56.0	53.0	67.0	0.98494	344.69386	0.20667	58.66667	-0.26	False	0.95	False	-0.07	False
685	18-10-2025 21:18:27	-4.36	2.16	-0.09	55.0	43.0	63.0	4.86572	296.35441	-0.76333	53.66667	-4.36	False	2.16	False	-0.09	False
686	18-10-2025 21:18:27	2.02	-2.62	1.1	43.0	43.0	75.0	3.30829	142.36805	0.16667	53.66667	2.02	False	-2.62	False	1.1	False
687	18-10-2025 21:18:27	-1.33	-0.63	-0.06	32.0	52.0	78.0	1.47167	244.65382	-0.67333	54.0	-1.33	False	-0.63	False	-0.06	False
688	18-10-2025 21:18:27	-0.68	0.58	0.2	49.0	59.0	60.0	0.89376	310.46223	0.03333	56.0	-0.68	False	0.58	False	0.2	False
689	18-10-2025 21:18:27	1.89	-0.68	0.14	66.0	61.0	73.0	2.00861	109.78814	0.45	66.66667	1.89	False	-0.68	False	0.14	False
690	18-10-2025 21:18:27	2.88	0.28	0.66	47.0	56.0	67.0	2.89358	84.44703	1.27333	56.66667	2.88	False	0.28	False	0.66	False
691	18-10-2025 21:18:27	3.89	-1.74	0.83	60.0	55.0	83.0	4.26142	114.09901	0.99333	66.0	3.89	False	-1.74	False	0.83	False
692	18-10-2025 21:18:27	-5.47	1.1	0.12	52.0	36.0	79.0	5.57951	281.37035	-1.41667	55.66667	-5.47	False	1.1	False	0.12	False
693	18-10-2025 21:18:27	-1.12	-0.94	0.1	54.0	24.0	70.0	1.46219	229.99374	-0.65333	49.33333	-1.12	False	-0.94	False	0.1	False
694	18-10-2025 21:18:27	-3.56	2.34	0.08	42.0	48.0	85.0	4.26019	303.31705	-0.38	58.33333	-3.56	False	2.34	False	0.08	False
695	18-10-2025 21:18:27	0.62	2.56	0.26	67.0	48.0	74.0	2.63401	13.61418	1.14667	63.0	0.62	False	2.56	False	0.26	False
696	18-10-2025 21:18:27	2.95	-2.79	-0.87	45.0	39.0	76.0	4.06037	133.40332	-0.23667	53.33333	2.95	False	-2.79	False	-0.87	False
697	18-10-2025 21:18:27	-0.6	-1.96	-0.13	71.0	42.0	77.0	2.04978	197.02053	-0.89667	63.33333	-0.6	False	-1.96	False	-0.13	False
698	18-10-2025 21:18:27	1.99	-1.6	-0.38	67.0	53.0	86.0	2.55345	128.79998	0.00333	68.66667	1.99	False	-1.6	False	-0.38	False
699	18-10-2025 21:18:27	4.12	-2.48	-0.03	66.0	49.0	80.0	4.80883	121.04549	0.53667	65.0	4.12	False	-2.48	False	-0.03	False
700	18-10-2025 21:18:28	2.4	-0.16	0.17	56.0	44.0	78.0	2.40533	93.81407	0.80333	59.33333	2.4	False	-0.16	False	0.17	False
701	18-10-2025 21:18:28	-3.04	1.56	-0.06	66.0	57.0	81.0	3.4169	297.16498	-0.51333	68.0	-3.04	False	1.56	False	-0.06	False
702	18-10-2025 21:18:28	0.6	-2.12	-0.45	50.0	69.0	92.0	2.20327	164.19749	-0.65667	70.33333	0.6	False	-2.12	False	-0.45	False
703	18-10-2025 21:18:28	1.33	0.17	0.28	66.0	55.0	89.0	1.34082	82.71598	0.59333	70.0	1.33	False	0.17	False	0.28	False
704	18-10-2025 21:18:28	2.33	1.95	0.54	60.0	66.0	84.0	3.03832	50.0737	1.60667	70.0	2.33	False	1.95	False	0.54	False
705	18-10-2025 21:18:28	-0.8	-0.07	-0.51	72.0	50.0	83.0	0.80306	264.99936	-0.46	68.33333	-0.8	False	-0.07	False	-0.51	False
706	18-10-2025 21:18:28	2.09	-1.8	0.32	51.0	48.0	84.0	2.75828	130.73648	0.20333	61.0	2.09	False	-1.8	False	0.32	False
707	18-10-2025 21:18:28	5.75	-1.83	-0.4	51.0	51.0	67.0	6.03419	107.65424	1.17333	56.33333	5.75	False	-1.83	False	-0.4	False
708	18-10-2025 21:18:28	2.76	2.02	0.48	62.0	71.0	62.0	3.42023	53.8002	1.75333	65.0	2.76	False	2.02	False	0.48	False
709	18-10-2025 21:18:28	1.96	0.22	0.48	47.0	59.0	85.0	1.97231	83.59565	0.88667	63.66667	1.96	False	0.22	False	0.48	False
710	18-10-2025 21:18:28	2.73	-4.86	0.11	43.0	57.0	76.0	5.57427	150.67584	-0.67333	58.66667	2.73	False	-4.86	False	0.11	False
711	18-10-2025 21:18:28	1.13	-1.41	0.25	64.0	58.0	79.0	1.80693	141.29067	-0.01	67.0	1.13	False	-1.41	False	0.25	False
712	18-10-2025 21:18:28	0.28	0.2	0.08	60.0	59.0	65.0	0.34409	54.46232	0.18667	61.33333	0.28	False	0.2	False	0.08	False
713	18-10-2025 21:18:28	-0.84	-0.71	0.02	61.0	38.0	78.0	1.09986	229.79423	-0.51	59.0	-0.84	False	-0.71	False	0.02	False
714	18-10-2025 21:18:28	2.6	-0.8	-0.11	58.0	54.0	64.0	2.72029	107.10273	0.56333	58.66667	2.6	False	-0.8	False	-0.11	False
715	18-10-2025 21:18:28	4.16	-3.45	0.0	63.0	60.0	76.0	5.40445	129.66983	0.23667	66.33333	4.16	False	-3.45	False	0.0	False
716	18-10-2025 21:18:28	0.53	-0.24	0.07	42.0	51.0	85.0	0.58181	114.36245	0.12	59.33333	0.53	False	-0.24	False	0.07	False
717	18-10-2025 21:18:28	-0.69	2.09	-0.01	52.0	58.0	75.0	2.20095	341.72969	0.46333	61.66667	-0.69	False	2.09	False	-0.01	False
718	18-10-2025 21:18:28	2.67	0.76	0.71	53.0	40.0	61.0	2.77606	74.1113	1.38	51.33333	2.67	False	0.76	False	0.71	False
719	18-10-2025 21:18:28	0.08	1.56	0.12	48.0	61.0	69.0	1.56205	2.93567	0.58667	59.33333	0.08	False	1.56	False	0.12	False
720	18-10-2025 21:18:28	0.11	0.38	-0.17	66.0	65.0	77.0	0.3956	16.14434	0.10667	69.33333	0.11	False	0.38	False	-0.17	False
721	18-10-2025 21:18:28	-1.21	-0.28	0.37	59.0	60.0	82.0	1.24197	256.97081	-0.37333	67.0	-1.21	False	-0.28	False	0.37	False
722	18-10-2025 21:18:28	1.79	-1.09	0.34	47.0	49.0	85.0	2.09576	121.33885	0.34667	60.33333	1.79	False	-1.09	False	0.34	False
723	18-10-2025 21:18:28	3.72	-1.33	0.28	58.0	63.0	75.0	3.95061	109.67334	0.89	65.33333	3.72	False	-1.33	False	0.28	False
724	18-10-2025 21:18:28	1.62	-2.44	0.11	43.0	56.0	76.0	2.92882	146.41845	-0.23667	58.33333	1.62	False	-2.44	False	0.11	False
725	18-10-2025 21:18:28	0.45	3.92	0.52	39.0	66.0	66.0	3.94574	6.54866	1.63	57.0	0.45	False	3.92	False	0.52	False
726	18-10-2025 21:18:28	1.27	1.41	0.33	57.0	35.0	67.0	1.89763	42.00965	1.00333	53.0	1.27	False	1.41	False	0.33	False
727	18-10-2025 21:18:28	-0.05	0.73	0.47	49.0	51.0	77.0	0.73171	356.08175	0.38333	59.0	-0.05	False	0.73	False	0.47	False
728	18-10-2025 21:18:28	1.39	-1.26	-0.26	62.0	54.0	82.0	1.87609	132.19152	-0.04333	66.0	1.39	False	-1.26	False	-0.26	False
729	18-10-2025 21:18:28	1.15	2.26	-0.01	70.0	47.0	70.0	2.53576	26.96925	1.13333	62.33333	1.15	False	2.26	False	-0.01	False
730	18-10-2025 21:18:28	1.86	-1.57	-0.7	53.0	47.0	72.0	2.43403	130.16724	-0.13667	57.33333	1.86	False	-1.57	False	-0.7	False
731	18-10-2025 21:18:28	4.0	-2.49	0.42	56.0	50.0	54.0	4.7117	121.90226	0.64333	53.33333	4.0	False	-2.49	False	0.42	False
