Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
3111	18-10-2025 2:33:37	2.12000	-0.92000	-0.24000	56.00000	64.00000	79.00000	2.31102	113.45903	0.32000	66.33333
3112	18-10-2025 2:33:37	1.67000	-0.57000	0.45000	61.00000	66.00000	67.00000	1.76460	108.84566	0.51667	64.66667
3113	18-10-2025 2:33:37	0.38000	-3.08000	0.02000	76.00000	53.00000	57.00000	3.10335	172.96658	-0.89333	62.00000
3114	18-10-2025 2:33:37	0.97000	-3.16000	-0.03000	73.00000	62.00000	58.00000	3.30553	162.93550	-0.74000	64.33333
3115	18-10-2025 2:33:37	2.23000	3.23000	0.29000	62.00000	57.00000	58.00000	3.92502	34.62129	1.91667	59.00000
3116	18-10-2025 2:33:37	5.03000	-1.94000	0.52000	69.00000	66.00000	82.00000	5.39115	111.09092	1.20333	72.33333
3117	18-10-2025 2:33:37	1.70000	-0.26000	0.55000	68.00000	74.00000	78.00000	1.71977	98.69550	0.66333	73.33333
3118	18-10-2025 2:33:37	2.66000	0.66000	0.62000	65.00000	70.00000	62.00000	2.74066	76.06516	1.31333	65.66667
3119	18-10-2025 2:33:37	5.59000	-2.25000	0.52000	54.00000	69.00000	82.00000	6.02583	111.92501	1.28667	68.33333
3120	18-10-2025 2:33:37	2.13000	0.86000	0.88000	58.00000	53.00000	65.00000	2.29706	68.01332	1.29000	58.66667
3121	18-10-2025 2:33:37	1.41000	-1.67000	0.13000	61.00000	73.00000	76.00000	2.18563	139.82522	-0.04333	70.00000
3122	18-10-2025 2:33:37	4.73000	2.40000	0.64000	67.00000	65.00000	75.00000	5.30405	63.09678	2.59000	69.00000
3123	18-10-2025 2:33:37	3.18000	-1.05000	0.50000	66.00000	57.00000	67.00000	3.34887	108.27264	0.87667	63.33333
