Sample()	SampleTime(Date)	V1/X/E(cm/s)	V2/Y/N(cm/s)	V3/Z/U(cm/s)	Corr1(%)	Corr2(%)	Corr3(%)	Speed(cm/s)	Direction(deg)	MeanVel(cm/s)	MeanCorr(%)
657	18-10-2025 21:18:26	-0.20000	-0.72000	0.18000	64.00000	47.00000	73.00000	0.74726	195.52411	-0.24667	61.33333
658	18-10-2025 21:18:26	0.77000	0.73000	0.39000	52.00000	45.00000	77.00000	1.06104	46.52752	0.63000	58.00000
659	18-10-2025 21:18:26	5.42000	-2.92000	0.32000	63.00000	56.00000	61.00000	6.15653	118.31336	0.94000	60.00000
660	18-10-2025 21:18:26	1.91000	-0.12000	0.68000	43.00000	58.00000	71.00000	1.91377	93.59501	0.82333	57.33333
661	18-10-2025 21:18:27	2.71000	-2.23000	0.32000	63.00000	62.00000	77.00000	3.50956	129.45022	0.26667	67.33333
662	18-10-2025 21:18:27	4.44000	0.70000	0.58000	58.00000	63.00000	63.00000	4.49484	81.04063	1.90667	61.33333
663	18-10-2025 21:18:27	3.98000	2.87000	0.90000	58.00000	44.00000	76.00000	4.90686	54.20442	2.58333	59.33333
664	18-10-2025 21:18:27	4.11000	1.05000	-0.13000	71.00000	59.00000	78.00000	4.24200	75.66893	1.67667	69.33333
665	18-10-2025 21:18:27	5.67000	-1.25000	0.60000	63.00000	40.00000	89.00000	5.80615	102.43248	1.67333	64.00000
666	18-10-2025 21:18:27	1.64000	0.75000	0.25000	58.00000	40.00000	85.00000	1.80336	65.42457	0.88000	61.00000
667	18-10-2025 21:18:27	4.95000	-1.83000	0.82000	40.00000	45.00000	72.00000	5.27744	110.28920	1.31333	52.33333
668	18-10-2025 21:18:27	-1.19000	1.42000	0.39000	59.00000	49.00000	79.00000	1.85270	320.03604	0.20667	62.33333
669	18-10-2025 21:18:27	0.28000	1.91000	0.16000	76.00000	60.00000	76.00000	1.93041	8.33998	0.78333	70.66667
670	18-10-2025 21:18:27	0.44000	-3.43000	0.11000	45.00000	41.00000	79.00000	3.45811	172.69003	-0.96000	55.00000
671	18-10-2025 21:18:27	1.93000	0.37000	-0.16000	57.00000	58.00000	79.00000	1.96515	79.14751	0.71333	64.66667
672	18-10-2025 21:18:27	0.00000	3.58000	0.98000	42.00000	27.00000	81.00000	3.58000	0.00000	1.52000	50.00000
673	18-10-2025 21:18:27	4.75000	-3.88000	-0.43000	71.00000	36.00000	74.00000	6.13326	129.24340	0.14667	60.33333
674	18-10-2025 21:18:27	1.96000	-1.25000	0.39000	54.00000	29.00000	78.00000	2.32467	122.52790	0.36667	53.66667
675	18-10-2025 21:18:27	5.33000	3.45000	1.32000	56.00000	57.00000	67.00000	6.34913	57.08584	3.36667	60.00000
676	18-10-2025 21:18:27	-3.49000	2.34000	0.61000	46.00000	53.00000	68.00000	4.20187	303.84134	-0.18000	55.66667
677	18-10-2025 21:18:27	-4.21000	1.30000	1.10000	66.00000	38.00000	56.00000	4.40614	287.16009	-0.60333	53.33333
678	18-10-2025 21:18:27	2.70000	1.66000	0.65000	57.00000	39.00000	67.00000	3.16948	58.41618	1.67000	54.33333
679	18-10-2025 21:18:27	-0.35000	2.93000	0.54000	54.00000	49.00000	51.00000	2.95083	353.18807	1.04000	51.33333
680	18-10-2025 21:18:27	1.81000	-2.91000	0.61000	58.00000	40.00000	61.00000	3.42698	148.11867	-0.16333	53.00000
681	18-10-2025 21:18:27	2.59000	-6.09000	-0.44000	60.00000	54.00000	80.00000	6.61787	156.96056	-1.31333	64.66667
682	18-10-2025 21:18:27	1.20000	-2.59000	-0.25000	48.00000	45.00000	60.00000	2.85449	155.14075	-0.54667	51.00000
683	18-10-2025 21:18:27	2.34000	0.53000	0.68000	43.00000	44.00000	76.00000	2.39927	77.23807	1.18333	54.33333
684	18-10-2025 21:18:27	-0.26000	0.95000	-0.07000	56.00000	53.00000	67.00000	0.98494	344.69386	0.20667	58.66667
685	18-10-2025 21:18:27	-4.36000	2.16000	-0.09000	55.00000	43.00000	63.00000	4.86572	296.35441	-0.76333	53.66667
686	18-10-2025 21:18:27	2.02000	-2.62000	1.10000	43.00000	43.00000	75.00000	3.30829	142.36805	0.16667	53.66667
687	18-10-2025 21:18:27	-1.33000	-0.63000	-0.06000	32.00000	52.00000	78.00000	1.47167	244.65382	-0.67333	54.00000
688	18-10-2025 21:18:27	-0.68000	0.58000	0.20000	49.00000	59.00000	60.00000	0.89376	310.46223	0.03333	56.00000
689	18-10-2025 21:18:27	1.89000	-0.68000	0.14000	66.00000	61.00000	73.00000	2.00861	109.78814	0.45000	66.66667
690	18-10-2025 21:18:27	2.88000	0.28000	0.66000	47.00000	56.00000	67.00000	2.89358	84.44703	1.27333	56.66667
691	18-10-2025 21:18:27	3.89000	-1.74000	0.83000	60.00000	55.00000	83.00000	4.26142	114.09901	0.99333	66.00000
692	18-10-2025 21:18:27	-5.47000	1.10000	0.12000	52.00000	36.00000	79.00000	5.57951	281.37035	-1.41667	55.66667
693	18-10-2025 21:18:27	-1.12000	-0.94000	0.10000	54.00000	24.00000	70.00000	1.46219	229.99374	-0.65333	49.33333
694	18-10-2025 21:18:27	-3.56000	2.34000	0.08000	42.00000	48.00000	85.00000	4.26019	303.31705	-0.38000	58.33333
695	18-10-2025 21:18:27	0.62000	2.56000	0.26000	67.00000	48.00000	74.00000	2.63401	13.61418	1.14667	63.00000
696	18-10-2025 21:18:27	2.95000	-2.79000	-0.87000	45.00000	39.00000	76.00000	4.06037	133.40332	-0.23667	53.33333
697	18-10-2025 21:18:27	-0.60000	-1.96000	-0.13000	71.00000	42.00000	77.00000	2.04978	197.02053	-0.89667	63.33333
698	18-10-2025 21:18:27	1.99000	-1.60000	-0.38000	67.00000	53.00000	86.00000	2.55345	128.79998	0.00333	68.66667
699	18-10-2025 21:18:27	4.12000	-2.48000	-0.03000	66.00000	49.00000	80.00000	4.80883	121.04549	0.53667	65.00000
700	18-10-2025 21:18:28	2.40000	-0.16000	0.17000	56.00000	44.00000	78.00000	2.40533	93.81407	0.80333	59.33333
